url_path,views_total,views_unique
/edgafner/dorkag/issues,58,12
/edgafner/dorkag/issues/30,39,7
/edgafner/dorkag,30,11
/edgafner/dorkag/wiki,22,13
/edgafner/dorkag/issues/31,12,2
/edgafner/dorkag/tree/main/.github/ISSUE_TEMPLATE,8,3
/edgafner/dorkag/wiki/FAQ,7,4
/edgafner/dorkag/issues/new,7,3
/edgafner/dorkag/issues/34,7,2
/edgafner/dorkag/issues/new/choose,6,3
